# Copyright (C) 2025  Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus Prime License Agreement,
# the Altera IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Altera and sold by Altera or its authorized distributors.  Please
# refer to the Altera Software License Subscription Agreements 
# on the Quartus Prime software download page.

# Quartus Prime Version 25.1std.0 Build 1129 10/21/2025 SC Standard Edition
# File: C:\Users\phmqngvu\Downloads\de10_pin_assignments.csv
# Generated on: Mon Apr 20 15:55:23 2026

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
HPS_GSENSOR_INT,Unknown,PIN_B22,7A,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_USB_STP,Unknown,PIN_C15,7D,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_USB_RESET,Unknown,PIN_G17,7C,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_USB_NXT,Unknown,PIN_A14,7D,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_USB_DIR,Unknown,PIN_E14,7D,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_USB_DATA[7],Unknown,PIN_M17,7D,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_USB_DATA[6],Unknown,PIN_D15,7D,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_USB_DATA[5],Unknown,PIN_C14,7D,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_USB_DATA[4],Unknown,PIN_A15,7D,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_USB_DATA[3],Unknown,PIN_D14,7D,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_USB_DATA[2],Unknown,PIN_D16,7D,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_USB_DATA[1],Unknown,PIN_G16,7D,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_USB_DATA[0],Unknown,PIN_E16,7D,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_USB_CLKOUT,Unknown,PIN_N16,7D,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_SD_DATA[3],Unknown,PIN_B16,7C,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_SD_DATA[2],Unknown,PIN_D17,7C,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_SD_DATA[1],Unknown,PIN_C17,7C,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_SD_DATA[0],Unknown,PIN_G18,7C,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_SD_CMD,Unknown,PIN_F18,7C,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_SD_CLK,Unknown,PIN_A16,7C,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_DDR3_RZQ,Unknown,PIN_D27,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_WE_n,Unknown,PIN_C28,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_RESET_n,Unknown,PIN_P30,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_RAS_n,Unknown,PIN_D30,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_ODT,Unknown,PIN_H28,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQS_p[3],Unknown,PIN_R22,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQS_p[2],Unknown,PIN_R19,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQS_p[1],Unknown,PIN_N25,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQS_p[0],Unknown,PIN_N18,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQS_n[3],Unknown,PIN_R21,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQS_n[2],Unknown,PIN_R18,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQS_n[1],Unknown,PIN_N24,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQS_n[0],Unknown,PIN_M19,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[31],Unknown,PIN_W29,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[30],Unknown,PIN_V30,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[29],Unknown,PIN_R26,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[28],Unknown,PIN_R27,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[27],Unknown,PIN_T28,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[26],Unknown,PIN_T29,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[25],Unknown,PIN_P25,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[24],Unknown,PIN_P24,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[23],Unknown,PIN_R29,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[22],Unknown,PIN_N27,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[21],Unknown,PIN_P27,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[20],Unknown,PIN_P26,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[19],Unknown,PIN_N28,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[18],Unknown,PIN_N29,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[17],Unknown,PIN_T26,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[16],Unknown,PIN_U26,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[15],Unknown,PIN_M30,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[14],Unknown,PIN_L28,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[13],Unknown,PIN_M27,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[12],Unknown,PIN_M26,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[11],Unknown,PIN_K27,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[10],Unknown,PIN_K29,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[9],Unknown,PIN_L26,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[8],Unknown,PIN_K26,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[7],Unknown,PIN_J29,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[6],Unknown,PIN_J30,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[5],Unknown,PIN_L24,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[4],Unknown,PIN_L25,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[3],Unknown,PIN_G28,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[2],Unknown,PIN_H30,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[1],Unknown,PIN_K22,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DQ[0],Unknown,PIN_K23,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DM[3],Unknown,PIN_W30,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DM[2],Unknown,PIN_R28,6B,B6B_N0,,,,,,,,,,,,,,,
HPS_DDR3_DM[1],Unknown,PIN_M28,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_DM[0],Unknown,PIN_K28,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_CS_n,Unknown,PIN_H24,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_CK_p,Unknown,PIN_M23,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_CK_n,Unknown,PIN_L23,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_CKE,Unknown,PIN_L29,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_CAS_n,Unknown,PIN_E27,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_BA[2],Unknown,PIN_J23,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_BA[1],Unknown,PIN_J24,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_BA[0],Unknown,PIN_E29,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_A[14],Unknown,PIN_H25,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_A[13],Unknown,PIN_C29,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_A[12],Unknown,PIN_B30,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_A[11],Unknown,PIN_C30,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_A[10],Unknown,PIN_D29,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_A[9],Unknown,PIN_G26,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_A[8],Unknown,PIN_H27,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_A[7],Unknown,PIN_E28,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_A[6],Unknown,PIN_F29,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_A[5],Unknown,PIN_J27,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_A[4],Unknown,PIN_J25,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_A[3],Unknown,PIN_F30,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_A[2],Unknown,PIN_F28,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_A[1],Unknown,PIN_G30,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_DDR3_A[0],Unknown,PIN_F26,6A,B6A_N0,,,,,,,,,,,,,,,
HPS_CONV_USB_N,Unknown,PIN_B15,7D,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_UART_TX,Unknown,PIN_C25,7A,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_UART_RX,Unknown,PIN_B25,7A,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_ENET_GTX_CLK,Unknown,PIN_H19,7B,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_ENET_INT_N,Unknown,PIN_C19,7B,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_ENET_MDC,Unknown,PIN_B21,7B,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_ENET_MDIO,Unknown,PIN_E21,7B,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_ENET_RESET_N,Unknown,PIN_E18,7C,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_ENET_RX_CLK,Unknown,PIN_G20,7B,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_ENET_RX_DATA[3],Unknown,PIN_D21,7B,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_ENET_RX_DATA[2],Unknown,PIN_B18,7B,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_ENET_RX_DATA[1],Unknown,PIN_B20,7B,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_ENET_RX_DATA[0],Unknown,PIN_A21,7B,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_ENET_RX_DV,Unknown,PIN_K17,7B,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_ENET_TX_DATA[3],Unknown,PIN_F19,7B,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_ENET_TX_DATA[2],Unknown,PIN_F21,7B,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_ENET_TX_DATA[1],Unknown,PIN_J19,7B,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_ENET_TX_DATA[0],Unknown,PIN_F20,7B,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_ENET_TX_EN,Unknown,PIN_A20,7B,B7A7B7C7D_N0,,,,,,,,,,,,,,,
ADC_SCLK,Unknown,PIN_W24,5A,B5A_N0,,,,,,,,,,,,,,,
ADC_DIN,Unknown,PIN_W22,5A,B5A_N0,,,,,,,,,,,,,,,
ADC_DOUT,Unknown,PIN_V23,5A,B5A_N0,,,,,,,,,,,,,,,
ADC_CONVST,Unknown,PIN_Y21,5A,B5A_N0,,,,,,,,,,,,,,,
PS2_DAT2,Unknown,PIN_AB26,5A,B5A_N0,,,,,,,,,,,,,,,
PS2_CLK2,Unknown,PIN_AC25,5A,B5A_N0,,,,,,,,,,,,,,,
DRAM_BA[1],Unknown,PIN_AJ12,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_BA[0],Unknown,PIN_AF13,3B,B3B_N0,,,,,,,,,,,,,,,
DRAM_ADDR[12],Unknown,PIN_AJ14,3B,B3B_N0,,,,,,,,,,,,,,,
TD_RESET_N,Unknown,PIN_AC27,5A,B5A_N0,,,,,,,,,,,,,,,
TD_CLK27,Unknown,PIN_AC18,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_SYNC_N,Unknown,PIN_AJ22,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_BLANK_N,Unknown,PIN_AK22,4A,B4A_N0,,,,,,,,,,,,,,,
HPS_I2C2_SDAT,Unknown,PIN_A25,7A,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_I2C2_SCLK,Unknown,PIN_H23,7A,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_I2C1_SDAT,Unknown,PIN_C24,7A,B7A7B7C7D_N0,,,,,,,,,,,,,,,
HPS_I2C1_SCLK,Unknown,PIN_E23,7A,B7A7B7C7D_N0,,,,,,,,,,,,,,,
FPGA_I2C_SDAT,Unknown,PIN_Y23,5A,B5A_N0,,,,,,,,,,,,,,,
FPGA_I2C_SCLK,Unknown,PIN_Y24,5A,B5A_N0,,,,,,,,,,,,,,,
GPIO[35],Unknown,PIN_AA12,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[34],Unknown,PIN_AB12,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[33],Unknown,PIN_AC12,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[32],Unknown,PIN_AC9,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[31],Unknown,PIN_AD12,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[30],Unknown,PIN_AD11,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[29],Unknown,PIN_AD10,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[28],Unknown,PIN_AD9,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[27],Unknown,PIN_AD7,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[26],Unknown,PIN_AE12,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[25],Unknown,PIN_AE11,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[24],Unknown,PIN_AE9,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[23],Unknown,PIN_AE7,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[22],Unknown,PIN_AF10,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[21],Unknown,PIN_AF9,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[20],Unknown,PIN_AF8,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[19],Unknown,PIN_AF6,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[18],Unknown,PIN_AF5,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[17],Unknown,PIN_AF4,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[16],Unknown,PIN_AG8,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[15],Unknown,PIN_AG7,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[14],Unknown,PIN_AG6,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[13],Unknown,PIN_AG5,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[12],Unknown,PIN_AG3,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[11],Unknown,PIN_AG2,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[10],Unknown,PIN_AG1,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[9],Unknown,PIN_AH5,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[8],Unknown,PIN_AH4,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[7],Unknown,PIN_AH3,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[6],Unknown,PIN_AH2,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[5],Unknown,PIN_AJ2,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[4],Unknown,PIN_AJ1,3A,B3A_N0,,,,,,,,,,,,,,,
GPIO[3],Unknown,PIN_AK3,3B,B3B_N0,,,,,,,,,,,,,,,
GPIO[2],Unknown,PIN_Y16,3B,B3B_N0,,,,,,,,,,,,,,,
GPIO[1],Unknown,PIN_AK2,3B,B3B_N0,,,,,,,,,,,,,,,
GPIO[0],Unknown,PIN_W15,3B,B3B_N0,,,,,,,,,,,,,,,
HPS_CLOCK2_25,Unknown,PIN_F25,7A,,,,,,,,,,,,,,,,
HPS_CLOCK1_25,Unknown,PIN_D25,7A,,,,,,,,,,,,,,,,
CLOCK4_50,Unknown,PIN_K14,8A,B8A_N0,,,,,,,,,,,,,,,
CLOCK3_50,Unknown,PIN_Y26,5B,B5B_N0,,,,,,,,,,,,,,,
CLOCK2_50,Unknown,PIN_AA16,4A,B4A_N0,,,,,,,,,,,,,,,
IRDA_RXD,Unknown,PIN_W20,5A,B5A_N0,,,,,,,,,,,,,,,
IRDA_TXD,Unknown,PIN_W21,5A,B5A_N0,,,,,,,,,,,,,,,
AUD_BCLK,Unknown,PIN_AF30,5A,B5A_N0,,,,,,,,,,,,,,,
AUD_XCK,Unknown,PIN_AH30,5A,B5A_N0,,,,,,,,,,,,,,,
AUD_DACDAT,Unknown,PIN_AF29,5A,B5A_N0,,,,,,,,,,,,,,,
AUD_DACLRCK,Unknown,PIN_AG30,5A,B5A_N0,,,,,,,,,,,,,,,
AUD_ADCDAT,Unknown,PIN_AJ29,5A,B5A_N0,,,,,,,,,,,,,,,
AUD_ADCLRCK,Unknown,PIN_AH29,5A,B5A_N0,,,,,,,,,,,,,,,
TD_VS,Unknown,PIN_AG28,5A,B5A_N0,,,,,,,,,,,,,,,
TD_HS,Unknown,PIN_AH28,5A,B5A_N0,,,,,,,,,,,,,,,
TD_DATA[7],Unknown,PIN_AD25,5A,B5A_N0,,,,,,,,,,,,,,,
TD_DATA[6],Unknown,PIN_AD26,5A,B5A_N0,,,,,,,,,,,,,,,
TD_DATA[5],Unknown,PIN_AD27,5A,B5A_N0,,,,,,,,,,,,,,,
TD_DATA[4],Unknown,PIN_AE26,5A,B5A_N0,,,,,,,,,,,,,,,
TD_DATA[3],Unknown,PIN_AE27,5A,B5A_N0,,,,,,,,,,,,,,,
TD_DATA[2],Unknown,PIN_AE28,5A,B5A_N0,,,,,,,,,,,,,,,
TD_DATA[1],Unknown,PIN_AF28,5A,B5A_N0,,,,,,,,,,,,,,,
TD_DATA[0],Unknown,PIN_AG27,5A,B5A_N0,,,,,,,,,,,,,,,
I2C_SDAT,Unknown,PIN_Y23,5A,B5A_N0,,,,,,,,,,,,,,,
I2C_SCLK,Unknown,PIN_Y24,5A,B5A_N0,,,,,,,,,,,,,,,
VGA_VS,Unknown,PIN_AK18,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_HS,Unknown,PIN_AK19,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_CLK,Unknown,PIN_AK21,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_B[7],Unknown,PIN_AK16,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_B[6],Unknown,PIN_AJ16,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_B[5],Unknown,PIN_AJ17,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_B[4],Unknown,PIN_AH19,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_B[3],Unknown,PIN_AJ19,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_B[2],Unknown,PIN_AH20,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_B[1],Unknown,PIN_AJ20,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_B[0],Unknown,PIN_AJ21,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_G[7],Unknown,PIN_AH23,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_G[6],Unknown,PIN_AK23,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_G[5],Unknown,PIN_AH24,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_G[4],Unknown,PIN_AJ24,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_G[3],Unknown,PIN_AK24,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_G[2],Unknown,PIN_AH25,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_G[1],Unknown,PIN_AJ25,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_G[0],Unknown,PIN_AK26,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_R[7],Unknown,PIN_AJ26,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_R[6],Unknown,PIN_AG26,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_R[5],Unknown,PIN_AF26,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_R[4],Unknown,PIN_AH27,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_R[3],Unknown,PIN_AJ27,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_R[2],Unknown,PIN_AK27,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_R[1],Unknown,PIN_AK28,4A,B4A_N0,,,,,,,,,,,,,,,
VGA_R[0],Unknown,PIN_AK29,4A,B4A_N0,,,,,,,,,,,,,,,
PS2_DAT,Unknown,PIN_AA25,5A,B5A_N0,,,,,,,,,,,,,,,
PS2_CLK,Unknown,PIN_AB25,5A,B5A_N0,,,,,,,,,,,,,,,
CLOCK_50,Unknown,PIN_AF14,3B,B3B_N0,,,,,,,,,,,,,,,
HEX5[6],Unknown,PIN_AB21,4A,B4A_N0,,,,,,,,,,,,,,,
HEX5[5],Unknown,PIN_AF19,4A,B4A_N0,,,,,,,,,,,,,,,
HEX5[4],Unknown,PIN_AE19,4A,B4A_N0,,,,,,,,,,,,,,,
HEX5[3],Unknown,PIN_AG20,4A,B4A_N0,,,,,,,,,,,,,,,
HEX5[2],Unknown,PIN_AF20,4A,B4A_N0,,,,,,,,,,,,,,,
HEX5[1],Unknown,PIN_AG21,4A,B4A_N0,,,,,,,,,,,,,,,
HEX5[0],Unknown,PIN_AF21,4A,B4A_N0,,,,,,,,,,,,,,,
HEX4[6],Unknown,PIN_AH22,4A,B4A_N0,,,,,,,,,,,,,,,
HEX4[5],Unknown,PIN_AF23,4A,B4A_N0,,,,,,,,,,,,,,,
HEX4[4],Unknown,PIN_AG23,4A,B4A_N0,,,,,,,,,,,,,,,
HEX4[3],Unknown,PIN_AE23,4A,B4A_N0,,,,,,,,,,,,,,,
HEX4[2],Unknown,PIN_AE22,4A,B4A_N0,,,,,,,,,,,,,,,
HEX4[1],Unknown,PIN_AG22,4A,B4A_N0,,,,,,,,,,,,,,,
HEX4[0],Unknown,PIN_AD21,4A,B4A_N0,,,,,,,,,,,,,,,
HEX3[6],Unknown,PIN_AD20,4A,B4A_N0,,,,,,,,,,,,,,,
HEX3[5],Unknown,PIN_AA19,4A,B4A_N0,,,,,,,,,,,,,,,
HEX3[4],Unknown,PIN_AC20,4A,B4A_N0,,,,,,,,,,,,,,,
HEX3[3],Unknown,PIN_AA20,4A,B4A_N0,,,,,,,,,,,,,,,
HEX3[2],Unknown,PIN_AD19,4A,B4A_N0,,,,,,,,,,,,,,,
HEX3[1],Unknown,PIN_W19,4A,B4A_N0,,,,,,,,,,,,,,,
HEX3[0],Unknown,PIN_Y19,4A,B4A_N0,,,,,,,,,,,,,,,
HEX2[6],Unknown,PIN_W16,4A,B4A_N0,,,,,,,,,,,,,,,
HEX2[5],Unknown,PIN_AF18,4A,B4A_N0,,,,,,,,,,,,,,,
HEX2[4],Unknown,PIN_Y18,4A,B4A_N0,,,,,,,,,,,,,,,
